"wbs";"id";"name";"start";"end";"duration";"effort";"effortDone";"effortLeft";"priority";"responsible";"resources";"status";"complete";"Total Cost"
"1";"task77";"Carpentry Work";"2020-10-05";"2020-10-08";3.0;3.4;3.4;0.0;500;"G.C. General Management";"";"done";"100%";"2233,88"
"1.1";"task77.task78";"  Install exterior sheathing and metal studs";"2020-10-05";"2020-10-08";3.0;3.4;3.4;0.0;500;"G.C. General Management";" * Drywall Contractor (res21)";"done";"100%";"1103,88"
"2";"task87";"Roofing";"2020-08-03";"2020-10-20";78.0;14.6;14.6;0.0;500;"G.C. General Management";"";"done";"100%";"6722,38"
"2.1";"task87.task88";"  Install flashing at parapet walls";"2020-08-09";"2020-08-13";4.0;3.4;3.4;0.0;500;"G.C. General Management";" * Roofing Contractor (res23)";"done";"100%";"1725,63"
"2.2";"task87.task91";"  Spread stone ballast on seamless roof";"2020-10-15";"2020-10-20";5.0;3.4;3.4;0.0;500;"G.C. General Management";" * Roofing Contractor (res23)";"done";"100%";"825,63"
"2.3";"task87.task92";"  Set rooftop equipment";"2020-08-08";"2020-08-10";2.0;0.0;0.0;0.0;500;"G.C. General Management";"";"done";"100%";"1038,00"
"2.4";"task87.task90";"  Install seamless roofing material";"2020-08-03";"2020-08-08";5.0;5.6;5.6;0.0;500;"G.C. General Management";" * Roofing Contractor (res23)";"done";"100%";"1085,38"
"2.5";"task87.task89";"  Pour lightweight concrete roof fill";"2020-10-13";"2020-10-15";2.0;2.3;2.3;0.0;500;"G.C. General Management";" * Roofing Contractor (res23)";"done";"100%";"721,75"
"3";"task93";"Window wall and store front closures";"2020-08-09";"2020-08-19";10.0;9.0;9.0;0.0;500;"G.C. General Management";"";"done";"100%";"6721,25"
"3.1";"task93.task94";"  Install window wall aluminum and glass";"2020-08-09";"2020-08-14";5.0;4.5;4.5;0.0;500;"G.C. General Management";" * Window Contractor (res26)";"done";"100%";"1477,00"
"3.2";"task93.task96";"  Install interior doors and hardware";"2020-08-14";"2020-08-16";2.0;1.1;1.1;0.0;500;"G.C. General Management";" * G.C. Finish Carpenter Crew (res27)";"done";"100%";"1461,38"
"3.3";"task93.task97";"  Install store front doors and hardware";"2020-08-09";"2020-08-12";3.0;0.0;0.0;0.0;500;"G.C. General Management";"";"done";"100%";"810,00"
"3.4";"task93.task95";"  Install interior stud walls and drywall";"2020-08-14";"2020-08-19";5.0;3.4;3.4;0.0;500;"G.C. General Management";" * Drywall Contractor (res21)";"done";"100%";"1490,88"
"4";"task98";"Building Finishes";"2020-08-16";"2020-08-28";12.0;24.8;24.8;0.0;500;"G.C. General Management";"";"done";"100%";"16721,13"
"4.1";"task98.task99";"  Install millwork and wood trim";"2020-08-16";"2020-08-19";3.0;2.3;2.3;0.0;500;"G.C. General Management";" * G.C. Finish Carpenter Crew (res27)";"done";"100%";"1694,75"
"4.2";"task98.task101";"  Install conduit at ceiling plenum space";"2020-08-19";"2020-08-22";3.0;3.4;3.4;0.0;500;"G.C. General Management";" * Electric Contractor (res12)";"done";"100%";"2201,50"
"4.3";"task98.task102";"  Install duct in ceiling plenum space";"2020-08-23";"2020-08-26";3.0;2.3;2.3;0.0;500;"G.C. General Management";" * HVAC Contractor (res25)";"done";"100%";"1567,75"
"4.4";"task98.task103";"  Install ceiling grid";"2020-08-22";"2020-08-24";2.0;0.0;0.0;0.0;500;"G.C. General Management";"";"done";"100%";"1271,00"
"4.5";"task98.task104";"  Install ceiling tile";"2020-08-26";"2020-08-28";2.0;2.3;2.3;0.0;500;"G.C. General Management";" * Drywall Contractor (res21)";"done";"100%";"1976,25"
"4.6";"task98.task105";"  Hang wallpaper";"2020-08-26";"2020-08-28";2.0;2.3;2.3;0.0;500;"G.C. General Management";" * Painting Contractor (res28)";"done";"100%";"1244,00"
"4.7";"task98.task106";"  Install building carpet";"2020-08-19";"2020-08-23";4.0;3.4;3.4;0.0;500;"G.C. General Management";" * Carpet Contractor (res29)";"done";"100%";"1116,25"
"4.8";"task98.task107";"  Install hardware and accessories";"2020-08-19";"2020-08-22";3.0;3.4;3.4;0.0;500;"G.C. General Management";" * G.C. Finish Carpenter Crew (res27)";"done";"100%";"1679,13"
"4.9";"task98.task108";"  Complete interior and exterior sod and plantings";"2020-08-19";"2020-08-21";2.0;2.3;2.3;0.0;500;"G.C. General Management";" * Landscape Contractor (res30)";"done";"100%";"835,50"
"4.10";"task98.task109";"  Pave, curb, and stripe parking lot";"2020-08-22";"2020-08-24";2.0;0.0;0.0;0.0;500;"G.C. General Management";"";"done";"100%";"909,00"
"4.11";"task98.task100";"  Paint walls and woodwork";"2020-08-19";"2020-08-23";4.0;3.4;3.4;0.0;500;"G.C. General Management";" * Painting Contractor (res28)";"done";"100%";"1544,00"
"5";"task110";"Elevators";"2020-10-02";"2020-10-08";6.0;4.5;4.5;0.0;500;"G.C. General Management";"";"done";"100%";"7669,50"
"5.1";"task110.task111";"  Set elevator equipment in shafts";"2020-10-02";"2020-10-06";4.0;2.3;2.3;0.0;500;"G.C. General Management";" * Elevator Contractor (res20)";"done";"100%";"2040,25"
"5.2";"task110.task113";"  Test and align doors and equipment";"2020-10-06";"2020-10-08";2.0;2.3;2.3;0.0;500;"G.C. General Management";" * Elevator Contractor (res20)";"done";"100%";"2159,25"
"5.3";"task110.task112";"  Set equipment in mechanical room";"2020-10-06";"2020-10-08";2.0;0.0;0.0;0.0;500;"G.C. General Management";"";"done";"100%";"1860,00"
"6";"task114";"Plumbing";"2020-08-13";"2020-10-16";64.0;5.6;5.6;0.0;500;"G.C. General Management";"";"done";"100%";"5002,88"
"6.1";"task114.task115";"  Rough-in plumbing in drywall walls";"2020-08-19";"2020-08-23";4.0;1.1;1.1;0.0;500;"G.C. General Management";" * Plumbing Contractor (res13)";"done";"100%";"684,38"
"6.2";"task114.task116";"  Tie-in fire line riser and set valves";"2020-08-13";"2020-08-15";2.0;1.1;1.1;0.0;500;"G.C. General Management";" * Plumbing Contractor (res13)";"done";"100%";"1478,38"
"6.3";"task114.task118";"  Flush, test, and clean piping and fixtures";"2020-08-23";"2020-08-25";2.0;1.1;1.1;0.0;500;"G.C. General Management";" * Plumbing Contractor (res13)";"done";"100%";"794,38"
"6.4";"task114.task117";"  Set plumbing fixtures and trim";"2020-10-13";"2020-10-16";3.0;2.3;2.3;0.0;500;"G.C. General Management";" * Plumbing Contractor (res13)";"done";"100%";"1221,75"
"7";"task119";"Electrical";"2020-08-19";"2020-10-22";64.0;9.0;9.0;0.0;500;"G.C. General Management";"";"done";"100%";"10887,00"
"7.1";"task119.task120";"  Rough-in electrical in masonry walls";"2020-09-28";"2020-10-02";4.0;4.5;4.5;0.0;500;"G.C. General Management";" * Electric Contractor (res12)";"done";"100%";"2115,00"
"7.2";"task119.task121";"  Rough-in electrical in drywall walls";"2020-08-19";"2020-08-23";4.0;0.0;0.0;0.0;500;"G.C. General Management";"";"done";"100%";"539,00"
"7.3";"task119.task123";"  Install and terminate electrical devices";"2020-10-02";"2020-10-05";3.0;1.1;1.1;0.0;500;"G.C. General Management";" * Electric Contractor (res12)";"done";"100%";"966,50"
"7.4";"task119.task124";"  Make electrical terminations for HVAC equipment";"2020-10-20";"2020-10-22";2.0;2.3;2.3;0.0;500;"G.C. General Management";" * Electric Contractor (res12)";"done";"100%";"2108,00"
"7.5";"task119.task125";"  Install light fixtures - test and clean";"2020-08-26";"2020-08-28";2.0;0.0;0.0;0.0;500;"G.C. General Management";"";"done";"100%";"1973,00"
"7.6";"task119.task122";"  Pull wire in conduit and set area transformers";"2020-08-23";"2020-08-26";3.0;1.1;1.1;0.0;500;"G.C. General Management";" * Electric Contractor (res12)";"done";"100%";"1512,50"
"8";"task126";"Heating and Ventilating - AC";"2020-08-19";"2020-10-09";51.0;12.4;12.4;0.0;500;"G.C. General Management";"";"done";"100%";"9924,13"
"8.1";"task126.task127";"  Set equipment in mechanical room";"2020-10-02";"2020-10-04";2.0;1.1;1.1;0.0;500;"G.C. General Management";" * HVAC Contractor (res25)";"done";"100%";"1573,38"
"8.2";"task126.task128";"  Rough-in mechanical in masonry walls";"2020-09-28";"2020-10-02";4.0;4.5;4.5;0.0;500;"G.C. General Management";" * HVAC Contractor (res25)";"done";"100%";"1964,50"
