"Project";"Whole Duration(hours)";"Whole Effort (hours)";"Progress (%)";"Done (hours)";"Remaining (hours)"
"Roofing";1872.0;117.0;"100%";117.0;0.0
"  Install seamless roofing material";120.0;45.0;"100%";45.0;0.0
"  Set rooftop equipment";48.0;0.0;"100%";0.0;0.0
"  Install flashing at parapet walls";96.0;27.0;"100%";27.0;0.0
"  Pour lightweight concrete roof fill";48.0;18.0;"100%";18.0;0.0
"  Spread stone ballast on seamless roof";120.0;27.0;"100%";27.0;0.0
"Final Clean-up and Occupancy";1872.0;72.0;"100%";72.0;0.0
"  Clean hard tile floors";96.0;36.0;"100%";36.0;0.0
"  Substantial completion date";24.0;9.0;"100%";9.0;0.0
"  Install hard tile flooring in common areas";24.0;9.0;"100%";9.0;0.0
"  Remove debris from building and do final clean-up";96.0;18.0;"100%";18.0;0.0
"General Conditions";216.0;180.0;"79%";180.0;0.0
"  Receive notice to proceed and sign contract";72.0;27.0;"100%";27.0;0.0
"  Obtain building permits";96.0;63.0;"100%";63.0;0.0
"  Submit monthly requests for payment";24.0;0.0;"100%";0.0;0.0
"  Prepare and submit project schedule";48.0;36.0;"100%";36.0;0.0
"  Submit bond and insurance documents";48.0;18.0;"100%";18.0;0.0
"  Prepare and submit schedule of values";48.0;0.0;"100%";0.0;0.0
"  Submit preliminary shop drawings";48.0;36.0;"50%";36.0;0.0
"Long Lead Procurement";288.0;225.0;"7%";225.0;0.0
"  Detail, fabricate and deliver steel";288.0;162.0;"100%";162.0;0.0
"  Submit shop drawings and order long lead items - roofing";48.0;9.0;"100%";9.0;0.0
"  Submit shop drawings and order long lead items - elevator";48.0;9.0;"100%";9.0;0.0
"  Submit shop drawings and order long lead items - plumbing";48.0;9.0;"100%";9.0;0.0
"  Submit shop drawings and order long lead items - electric";48.0;9.0;"100%";9.0;0.0
"  Submit shop drawings and order long lead items - HVAC";48.0;9.0;"100%";9.0;0.0
"  Submit shop drawings and order long lead items - steel";48.0;18.0;"80%";18.0;0.0
"Foundations";864.0;315.0;"100%";315.0;0.0
"  Form column piers and spread foundations";96.0;36.0;"100%";36.0;0.0
"  Form elevator pit walls";96.0;18.0;"100%";18.0;0.0
"  Pour column piers and foundations";120.0;36.0;"100%";36.0;0.0
"  Cure elevator wall concrete";168.0;27.0;"100%";27.0;0.0
"  Excavate foundations";48.0;9.0;"100%";9.0;0.0
"  Excavate elevator pit";48.0;0.0;"100%";0.0;0.0
"  Strip column piers and foundation forms";72.0;18.0;"100%";18.0;0.0
"  Rough-in electric and plumbing in elevator";96.0;72.0;"100%";72.0;0.0
"  Set reinforcing and anchor bolts";96.0;36.0;"100%";36.0;0.0
"  Prepare and pour concrete floor in elevator pit";24.0;9.0;"100%";9.0;0.0
"  Pour concrete elevator walls";24.0;0.0;"100%";0.0;0.0
"  Cure piers and foundations";168.0;45.0;"100%";45.0;0.0
"  Strip wall forms";24.0;0.0;"100%";0.0;0.0
"  Install pneumatic tube in elevator pit";72.0;9.0;"100%";9.0;0.0
"Steel Erection";792.0;45.0;"100%";45.0;0.0
"  Erect steel columns, beams and joist - 3rd floor and roof";48.0;0.0;"100%";0.0;0.0
"  Install miscellaneous iron and bracing - 1st and 2nd floors";48.0;0.0;"100%";0.0;0.0
"  Install stairs and miscellaneous iron railing";48.0;0.0;"100%";0.0;0.0
"  Erect steel columns, beams and joist - 1st and 2nd floors";48.0;18.0;"100%";18.0;0.0
"  Install miscellaneous iron and bracing - 3rd floor and roof";48.0;18.0;"100%";18.0;0.0
"  Touch-up paint on steel";24.0;9.0;"100%";9.0;0.0
"Masonry Work";1656.0;108.0;"100%";108.0;0.0
"  Lay masonry at core, mechanical, and toilets";96.0;27.0;"100%";27.0;0.0
"  Install roof drains";48.0;0.0;"100%";0.0;0.0
"  Clean masonry";24.0;0.0;"100%";0.0;0.0
